0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1.3398,2.4538,0.65714,0.42383,0.87056,-1.2136,0.10838,-0.060723,-0.20456,0.28763,0.035497,-0.9268,-0.016535,-1.199,0.006808,0.41398
0.68436,0.23574,0.10666,0.064722,-0.14769,0.4813,-0.028215,0.24801,-0.2561,0.42315,-0.78936,-0.37316,-0.70905,0.9665,0.71137,-0.3044
-0.26492,0.19783,1.5838,1.435,0.38445,-0.37662,0.74628,0.61754,-0.11734,-0.63146,0.51907,-1.012,0.026511,0.042904,0.33081,-1.1175
-0.66033,-0.2966,0.10861,0.89456,0.35726,-0.18392,-0.28019,-0.38078,-0.33985,-0.090418,0.70303,0.27406,0.40987,-0.33437,-0.82863,-0.90714
-0.21131,-0.44514,0.60785,0.40261,0.081319,0.89948,0.24524,-1.0062,-1.2255,0.30509,-0.59664,0.23985,-0.31,0.85882,-0.30738,0.63999
-0.088647,0.022872,0.47765,0.4707,0.96323,1.711,-0.9901,-0.35143,0.33432,-1.1926,-0.5638,0.20854,-0.48797,0.16008,0.58649,-0.54405
-0.81888,0.79309,-0.13017,1.1797,-0.083718,0.029941,0.70751,1.4973,0.071446,0.3677,-0.091535,-0.91247,-0.20338,-0.10681,-0.3676,1.1376
0.76315,0.00048741,0.64171,-0.25078,0.40357,0.77637,-0.12913,1.0682,-0.1689,-0.018874,-0.60606,0.42001,0.4858,0.3524,-0.59836,0.70451
-0.57588,-0.29591,0.45387,0.49325,-0.4438,-0.23233,-0.65267,0.6276,1.015,1.0013,-0.29664,-0.19064,-1.0198,-0.44722,0.57363,0.15772
-0.19407,-0.32612,-0.25577,-0.61857,0.31309,-0.884,-0.31614,0.27558,0.79713,0.27334,-0.29973,0.15107,-0.26553,0.671,-0.053579,0.34639
-0.44388,-0.083711,0.13489,-0.60797,-0.61099,-0.28748,-0.28309,0.2128,0.33086,-0.17097,0.85111,0.40995,0.30238,0.96432,-0.50333,-0.0085233
0.83302,-0.18277,0.59975,0.21731,-0.019826,-0.33463,-0.12181,-0.49486,-0.4261,0.0087463,1.0342,0.50143,-0.042703,-0.049917,-0.30977,-0.033527
-0.43801,0.16036,-0.66897,1.5938,0.1889,-0.16356,-0.6734,0.098069,-0.2832,0.19438,0.53127,-0.39538,1.249,1.7349,-0.22389,0.1631
-0.64823,1.1304,-0.79241,0.6008,-0.48555,0.30885,-0.42924,-0.17417,0.039455,-1.205,-0.53936,0.1331,0.36146,1.0482,-0.0083194,-0.1584
0.36783,0.2136,-0.25656,0.76697,-0.4288,-0.35003,0.61883,-0.16176,0.27177,0.70047,0.088021,0.32631,-0.10327,-0.32296,0.74762,1.4729
-0.43206,-0.36472,-0.38794,0.92999,-0.1928,-0.043173,-0.28016,-0.23232,0.028634,-0.84113,-0.049538,-0.20168,0.080269,-0.062813,1.5724,0.42705
