x,Curve1,Curve2,Curve3,Curve4,Curve5,Curve6,Curve7,Curve8,Curve9,Curve10
9.23937,0.521113,0.468695,0.705261,0.8649,0.508773,0.332512,0.592952,0.61325,0.640017,0.690163
12.9064,0.542205,0.484753,0.609663,0.808373,0.522984,0.365898,0.698191,0.609928,0.675538,0.682652
14.9235,0.553807,0.493586,0.557079,0.777281,0.530801,0.384262,0.756078,0.6081,0.695077,0.678521
15.2708,0.555805,0.495107,0.548025,0.771927,0.532147,0.387424,0.766046,0.607786,0.698441,0.67781
15.3023,0.555986,0.495245,0.547205,0.771442,0.532269,0.38771,0.766948,0.607757,0.698746,0.677745
15.8156,0.558938,0.497493,0.533823,0.76353,0.534258,0.392384,0.781679,0.607292,0.703718,0.676694
17.1396,0.566554,0.503291,0.499307,0.74312,0.53939,0.404438,0.790022,0.606092,0.716543,0.673982
18.158,0.572411,0.507751,0.628115,0.727421,0.543336,0.41371,0.796439,0.60517,0.726408,0.671897
18.8604,0.576451,0.510826,0.716951,0.716594,0.546059,0.420105,0.800865,0.604533,0.733211,0.670458
21.8058,0.593393,0.523725,1.08948,0.671191,0.557473,0.446921,0.819424,0.601865,0.761742,0.664425
21.9627,0.594295,0.524411,1.10932,0.668773,0.558081,0.448349,0.820412,0.601722,0.763262,0.664104
22.0281,0.594672,0.524698,1.11759,0.667764,0.558335,0.448945,0.820825,0.601663,0.763896,0.66397
22.2498,0.595947,0.525669,1.14563,0.775408,0.559194,0.450964,0.822222,0.601462,0.766043,0.663516
24.5014,0.608897,0.535529,1.43041,1.86862,0.56792,0.471463,0.836409,0.599422,0.787853,0.658904
29.348,0.636774,0.556752,2.04339,4.2218,0.586703,0.515588,0.866947,0.595031,0.8348,0.676159
29.4909,0.633474,0.557378,2.06146,4.29118,0.587257,0.516889,0.867848,0.594901,0.836184,0.676668
31.0217,0.598119,0.564081,2.25507,5.03441,0.593189,0.530826,0.877493,0.593514,0.83957,0.682118
31.8683,0.578565,0.567789,2.36214,5.44547,0.59647,0.538534,0.882828,0.592747,0.841443,0.685132
31.9093,0.577619,0.567968,2.36733,5.46536,0.596629,0.538907,0.883086,0.59271,0.841534,0.685278
32.0125,0.575234,0.568421,2.38039,5.51551,0.597029,0.539847,0.883737,0.592617,0.841762,0.685646
32.7,0.559356,0.571431,2.46733,5.84928,0.548808,0.546106,0.888068,0.591994,0.843283,0.688093
32.7926,0.557218,0.571836,2.47904,5.89424,0.542312,0.546949,0.888652,0.59191,0.843488,0.688423
33.0015,0.552393,0.572751,2.50546,5.99566,0.527659,0.548851,0.889968,0.591721,0.84395,0.689166
38.0764,0.435181,0.594975,3.14732,8.45969,0.171669,0.595055,0.921945,0.601407,0.855176,0.707234
40.3311,0.383105,0.604848,3.43249,9.55441,0.0135091,0.615582,0.936152,0.60571,0.860164,0.715261
41.718,0.351073,0.60654,3.6079,10.2278,-0.0837783,0.628209,0.944891,0.608357,0.863232,0.720199
43.5081,0.309727,0.608724,3.83431,11.097,-0.20935,0.644507,0.95617,0.611774,0.867192,0.726572
51.3456,0.12871,0.618285,4.82557,14.9023,-0.759125,0.715863,1.00555,0.626733,0.88453,0.754475
66.7738,-0.227625,0.637106,6.77687,22.3931,-1.84137,0.769867,1.10277,0.656179,0.918659,0.809403
77.7026,-0.480038,0.650438,8.15909,27.6994,-2.60798,0.808122,1.17163,0.677038,0.942835,0.848312
